date,nyse_advancers,nyse_decliners,nyse_ad,nyse_ad_cum,nyse_ad_cum_trend,nyse_mcclellan,nyse_mcclellan_trend,nyse_pct_above_20d,nyse_pct_above_50d,nyse_pct_above_200d,nyse_common_advancers,nyse_common_decliners,nyse_common_ad,nyse_common_ad_cum,nyse_common_ad_cum_trend,nyse_common_mcclellan,nyse_common_mcclellan_trend,nyse_common_pct_above_20d,nyse_common_pct_above_50d,nyse_common_pct_above_200d,nasdaq_advancers,nasdaq_decliners,nasdaq_ad,nasdaq_ad_cum,nasdaq_ad_cum_trend,nasdaq_mcclellan,nasdaq_mcclellan_trend,nasdaq_pct_above_20d,nasdaq_pct_above_50d,nasdaq_pct_above_200d,sp500_advancers,sp500_decliners,sp500_ad,sp500_ad_cum,sp500_ad_cum_trend,sp500_mcclellan,sp500_mcclellan_trend,sp500_pct_above_20d,sp500_pct_above_50d,sp500_pct_above_200d,sp400_advancers,sp400_decliners,sp400_ad,sp400_ad_cum,sp400_ad_cum_trend,sp400_mcclellan,sp400_mcclellan_trend,sp400_pct_above_20d,sp400_pct_above_50d,sp400_pct_above_200d,sp600_advancers,sp600_decliners,sp600_ad,sp600_ad_cum,sp600_ad_cum_trend,sp600_mcclellan,sp600_mcclellan_trend,sp600_pct_above_20d,sp600_pct_above_50d,sp600_pct_above_200d,broad_pct_above_20d,broad_pct_above_50d,broad_pct_above_200d
2023-08-03,681,890,-209.0,4162.0,falling,-46.700823685532754,falling,48.589341692789965,0.0,0.0,522,665,-143.0,3426.0,flat,-28.471560875274477,falling,51.369294605809124,0.0,0.0,1023,1162,-139.0,-52.0,falling,-43.29594430724167,falling,45.973008271658685,0.0,0.0,218,278,-60.0,1396.0,flat,-16.35693119662954,flat,46.58634538152611,0.0,0.0,169,225,-56.0,1212.0,flat,-12.940109292990364,flat,49.23857868020304,0.0,0.0,251,326,-75.0,1544.0,flat,-12.413516633116721,flat,54.778156996587036,0.0,0.0,47.06732664348968,0.0,0.0
2023-08-04,745,816,-71.0,4091.0,flat,-49.24699008526832,falling,46.39498432601881,0.0,0.0,532,650,-118.0,3308.0,flat,-34.784636450315105,falling,48.79668049792531,0.0,0.0,955,1225,-270.0,-322.0,falling,-51.73750130682736,falling,43.19269247498912,0.0,0.0,160,334,-174.0,1222.0,falling,-24.596705680812345,flat,41.365461847389554,0.0,0.0,174,217,-43.0,1169.0,flat,-14.837727824772148,flat,45.68527918781726,0.0,0.0,310,271,39.0,1583.0,flat,-10.845962452618608,flat,53.242320819112635,0.0,0.0,44.528906743756124,0.0,0.0
2023-08-07,1106,461,645.0,4736.0,flat,-15.377727406615875,flat,51.222570532915356,0.0,0.0,828,355,473.0,3781.0,flat,-10.458392884723267,flat,52.86307053941909,0.0,0.0,1025,1168,-143.0,-465.0,falling,-52.34634503493899,falling,41.97477163984341,0.0,0.0,409,87,322.0,1544.0,flat,-6.71872933638458,flat,49.39759036144578,0.0,0.0,307,85,222.0,1391.0,flat,-3.13600303032171,flat,50.25380710659898,0.0,0.0,403,178,225.0,1808.0,flat,-0.15147381602962895,flat,59.21501706484642,0.0,0.0,45.82884101895078,0.0,0.0
2023-08-08,525,1037,-512.0,4224.0,falling,-44.192619179334955,falling,44.89028213166144,0.0,0.0,412,776,-364.0,3417.0,flat,-31.45716267171862,falling,46.97095435684647,0.0,0.0,841,1317,-476.0,-941.0,falling,-69.25517469729974,falling,39.47826086956522,0.0,0.0,147,349,-202.0,1342.0,falling,-17.59946591521692,flat,43.373493975903614,0.0,0.0,113,279,-166.0,1225.0,flat,-12.515348315914977,flat,44.67005076142132,0.0,0.0,173,406,-233.0,1575.0,flat,-13.906928662665909,flat,50.51194539249146,0.0,0.0,41.75072786187552,0.0,0.0
2023-08-09,640,920,-280.0,3944.0,falling,-57.0083885491131,falling,41.63009404388715,0.0,0.0,471,712,-241.0,3176.0,falling,-43.10382502624107,falling,43.48547717842324,0.0,0.0,777,1407,-630.0,-1571.0,falling,-91.06594818513167,falling,37.434782608695656,0.0,0.0,201,292,-91.0,1251.0,falling,-21.264498360542486,flat,37.75100401606426,0.0,0.0,145,247,-102.0,1123.0,falling,-17.272111793517645,flat,41.370558375634516,0.0,0.0,213,366,-153.0,1422.0,falling,-21.598307913226595,flat,46.75767918088737,0.0,0.0,39.18282904002544,0.0,0.0
2023-08-10,665,898,-233.0,3711.0,falling,-65.33082941752785,falling,40.43887147335423,0.0,0.0,512,673,-161.0,3015.0,falling,-48.84620221422656,falling,42.0746887966805,0.0,0.0,976,1192,-216.0,-1787.0,falling,-88.55882977630232,falling,36.245110821382006,0.0,0.0,229,264,-35.0,1216.0,flat,-21.49177860949313,flat,38.75502008032129,0.0,0.0,157,232,-75.0,1048.0,flat,-19.902784007900344,flat,39.847715736040605,0.0,0.0,227,351,-124.0,1298.0,flat,-26.61644563288985,falling,42.83276450511945,0.0,0.0,38.00197168952261,0.0,0.0
2023-08-11,853,708,145.0,3856.0,falling,-53.21986221293482,falling,40.87774294670846,0.0,0.0,673,510,163.0,3178.0,falling,-37.31170369888301,falling,42.655601659751035,0.0,0.0,1046,1123,-77.0,-1864.0,falling,-79.02244938787172,falling,37.37505432420687,0.0,0.0,273,221,52.0,1268.0,falling,-17.22864432929847,flat,37.75100401606426,0.0,0.0,215,174,41.0,1089.0,falling,-16.252494831158046,flat,37.309644670050766,0.0,0.0,304,273,31.0,1329.0,falling,-23.02387115503749,flat,43.1740614334471,0.0,0.0,38.84092481743073,0.0,0.0
2023-08-14,587,976,-389.0,3467.0,falling,-69.2988859419431,falling,36.75641828428303,0.0,0.0,487,694,-207.0,2971.0,falling,-45.76314894976987,falling,40.049751243781095,0.0,0.0,918,1273,-355.0,-2219.0,falling,-84.3737319088242,falling,34.02868318122555,0.0,0.0,242,255,-13.0,1255.0,falling,-16.747521298085537,flat,39.3574297188755,0.0,0.0,192,201,-9.0,1080.0,falling,-15.550235110887591,flat,37.81725888324873,0.0,0.0,205,375,-170.0,1159.0,falling,-29.88710062069853,falling,37.98977853492334,0.0,0.0,35.164391749706866,0.0,0.0
2023-08-15,217,1357,-1140.0,2327.0,falling,-120.24995680053549,falling,27.98998121477771,0.0,0.0,173,1016,-843.0,2128.0,falling,-84.5603188945293,falling,30.762852404643446,0.0,0.0,575,1622,-1047.0,-3266.0,falling,-123.12720980469444,falling,29.713292788879237,0.0,0.0,43,454,-411.0,844.0,falling,-36.15242349990805,falling,28.514056224899598,0.0,0.0,45,344,-299.0,781.0,falling,-29.372051874501917,falling,29.695431472081218,0.0,0.0,125,460,-335.0,824.0,falling,-43.85572631073522,falling,30.494037478705284,0.0,0.0,28.99398957550459,0.0,0.0
2023-08-16,390,1174,-784.0,1543.0,falling,-145.4118726006293,falling,22.917971195992486,0.0,0.0,299,881,-582.0,1546.0,falling,-104.25909760282596,falling,25.04145936981758,0.0,0.0,550,1631,-1081.0,-4347.0,falling,-157.34579735664002,falling,25.499565595134666,0.0,0.0,115,382,-267.0,577.0,falling,-45.36285276496678,falling,21.485943775100402,0.0,0.0,87,305,-218.0,563.0,falling,-36.99284494801965,falling,23.3502538071066,0.0,0.0,124,456,-332.0,492.0,falling,-55.429622644162926,falling,23.850085178875638,0.0,0.0,24.421431111754593,0.0,0.0
