date,spx,bb_mid,bb_upper,bb_lower,bb_dist_upper_pct,bb_dist_lower_pct,vix,vix1d,vix9d,vvix,shortvol,vx_m1,vx_m2,vx_contango_pct,pc_equity_raw,pc_index_raw,pc_equity_10d,pc_index_10d
2025-02-25,5955.25,6059.08447265625,6159.552479291433,5958.616466021067,3.430628089357004,0.05652938199180599,19.43000030517578,14.619999885559082,19.290000915527344,108.47000122070312,1713.510009765625,,,,,,,
2025-02-26,5956.06005859375,6053.502465820313,6163.872436857087,5943.132494783538,3.489091382876398,-0.21704891628080686,19.100000381469727,20.489999771118164,18.8799991607666,106.05000305175781,1739.239990234375,,,,,,,
2025-02-27,5861.56982421875,6044.615454101562,6184.4796023613835,5904.751305841741,5.508929993607507,0.7366880019849654,21.1299991607666,19.540000915527344,20.950000762939453,114.79000091552734,1643.2900390625,,,,,,,
2025-02-28,5954.5,6038.781958007812,6183.626314855757,5893.937601159867,3.8479522185869057,-1.0170862178206908,19.6299991607666,18.670000076293945,18.8799991607666,108.98999786376953,1672.050048828125,,,,,,,
2025-03-03,5849.72021484375,6029.241479492188,6196.93502193959,5861.547937044786,5.935579725929071,0.20219295567371914,22.780000686645508,21.75,23.959999084472656,118.73999786376953,1530.6700439453125,,,,,,,
2025-03-04,5778.14990234375,6018.420483398438,6220.034140597926,5816.806826198949,7.647503884849677,0.6690190546894449,23.510000228881836,24.6299991607666,24.790000915527344,118.55999755859375,1499.72998046875,,,,,,,
2025-03-05,5842.6298828125,6008.657983398438,6224.696896101067,5792.619070695809,6.539298585599424,-0.8559640627555438,21.93000030517578,22.110000610351562,22.899999618530273,109.62999725341797,1564.0400390625,,,,,,,
2025-03-06,5738.52001953125,5992.509985351562,6238.173450230532,5746.846520472593,8.707008584072096,0.1450984036476839,24.8700008392334,31.1299991607666,26.790000915527344,120.81999969482422,1398.93994140625,,,,,,,
2025-03-07,5770.2001953125,5976.84150390625,6237.563084651234,5716.119923161266,8.099595742248294,-0.9372338969307599,23.3700008392334,24.65999984741211,23.790000915527344,115.7300033569336,1458.4000244140625,,,,,,,
2025-03-10,5614.56005859375,5956.269995117187,6261.747459562304,5650.79253067207,11.526947689836486,0.64533056375204,27.860000610351562,28.649999618530273,31.190000534057617,128.4600067138672,1304.4200439453125,,,,,,,
2025-03-11,5572.06982421875,5931.551489257812,6276.898164723677,5586.204813791947,12.649309192814172,0.2536757438279085,26.920000076293945,30.1200008392334,28.93000030517578,129.50999450683594,1305.18994140625,,,,,,,
2025-03-12,5599.2998046875,5908.091479492187,6277.196911827989,5538.986047156385,12.106819259311356,-1.07716606781124,24.229999542236328,23.190000534057617,25.260000228881836,115.88999938964844,1371.469970703125,,,,,,,
2025-03-13,5521.52001953125,5881.5689697265625,6282.0428807077415,5481.0950587453835,13.773795231861827,-0.7321346412377644,24.65999984741211,23.3799991607666,25.360000610351562,112.88999938964844,1305.4200439453125,,,,,,,
2025-03-14,5638.93994140625,5857.762475585938,6256.395175965992,5459.129775205884,10.949845910324768,-3.1887228462930755,21.770000457763672,21.420000076293945,21.770000457763672,98.2300033569336,1419.6199951171875,,,,,,,
2025-03-17,5675.1201171875,5835.7869873046875,6223.09403701575,5448.479937593625,9.655723729418026,-3.993575024209247,20.510000228881836,16.350000381469727,21.299999237060547,95.93000030517578,1479.4000244140625,,,,,,,
2025-03-18,5614.66015625,5810.040991210937,6183.321648989989,5436.760333431886,10.128155167271862,-3.1684878134624754,21.700000762939453,22.09000015258789,22.59000015258789,99.68000030517578,1434.050048828125,,,,,,,
2025-03-19,5675.2900390625,5786.597998046875,6129.156548102981,5444.039447990768,7.997239011866523,-4.074692033007216,19.899999618530273,18.489999771118164,19.790000915527344,93.2300033569336,1488.780029296875,,,,,,,
2025-03-20,5662.89013671875,5763.86650390625,6072.634870557863,5455.098137254637,7.235611568416044,-3.6693630716366736,19.799999237060547,18.579999923706055,19.459999084472656,89.94999694824219,1512.219970703125,,,,,,,
2025-03-21,5667.56005859375,5746.5880126953125,6034.603662612501,5458.572362778124,6.4762190470694785,-3.6874368097561923,19.280000686645508,16.65999984741211,18.579999923706055,87.98999786376953,1509.5400390625,,,,,,,
2025-03-24,5767.56982421875,5735.80400390625,6001.820332097366,5469.787675715133,4.061511434070011,-5.163043666210887,17.479999542236328,12.989999771118164,18.559999465942383,81.88999938964844,1606.9599609375,,,,,,,
2025-03-25,5776.64990234375,5726.873999023437,5973.129837352858,5480.618160694016,3.401278220606558,-5.124626672106705,17.149999618530273,12.229999542236328,18.010000228881836,87.45999908447266,1598.3900146484375,,,,,,,
2025-03-26,5712.2001953125,5714.681005859375,5936.047524531013,5493.314487187737,3.918758474225123,-3.831898404127776,18.329999923706055,16.079999923706055,19.959999084472656,90.23999786376953,1544.3299560546875,,,,,,,
2025-03-27,5693.31005859375,5706.268017578125,5916.645982723274,5495.8900524329765,3.9227781700104334,-3.4675786867215925,18.690000534057617,17.059999465942383,20.030000686645508,89.51000213623047,1541.0799560546875,,,,,,,
2025-03-28,5580.93994140625,5687.590014648437,5869.590808602426,5505.589220694449,5.172083380697394,-1.3501439095009242,21.649999618530273,25.420000076293945,22.690000534057617,102.44000244140625,1397.3299560546875,,,,,,,
2025-03-31,5611.85009765625,5675.696508789062,5843.632333829784,5507.76068374834,4.1302285723978365,-1.8548145815830375,22.280000686645508,21.809999465942383,25.139999389648438,99.12000274658203,1405.2099609375,,,,,,,
2025-04-01,5633.06982421875,5668.4425048828125,5830.163200600143,5506.721809165482,3.498862654498121,-2.242969091383329,21.770000457763672,20.059999465942383,24.459999084472656,97.55000305175781,1401.06005859375,,,,,,,
2025-04-02,5670.97021484375,5659.859521484375,5799.3482992770405,5520.37074369171,2.2637763834001663,-2.655620915762281,21.510000228881836,26.68000030517578,24.290000915527344,118.37000274658203,1441.989990234375,,,,,,,
2025-04-03,5396.52001953125,5642.759521484375,5820.306155953583,5465.212887015167,7.852952178228802,1.2729104540574667,30.020000457763672,33.83000183105469,34.099998474121094,119.4800033569336,1088.010009765625,,,,,,,
2025-04-04,5074.080078125,5607.953515625,5909.758387505036,5306.148643744965,16.46955303253393,4.57360865510266,45.310001373291016,81.88999938964844,57.16999816894531,147.16000366210938,862.0800170898438,,,,,,,
2025-04-07,5062.25,5580.3380126953125,5968.357469286777,5192.318556103848,17.89930306260609,2.5693823122889645,46.97999954223633,66.51000213623047,62.58000183105469,152.6300048828125,862.6500244140625,,,,,,,
2025-04-08,4982.77001953125,5550.873022460937,6022.111290346171,5079.6347545757035,20.858704430285865,1.9439936955702797,52.33000183105469,73.56999969482422,67.62999725341797,170.9199981689453,726.3900146484375,,,,,,,
2025-04-09,5456.89990234375,5543.75302734375,6016.212005073061,5071.294049614438,10.24963097617175,-7.066390434680561,33.619998931884766,50.15999984741211,40.060001373291016,142.5,903.3699951171875,,,,,,,
2025-04-10,5268.0498046875,5531.079516601562,6019.3824121666385,5042.776621036486,14.262063483352117,-4.2762159053729185,40.720001220703125,56.20000076293945,50.43000030517578,157.24000549316406,695.3599853515625,,,,,,,
2025-04-11,5363.35986328125,5517.300512695312,6008.333248559708,5026.267776830916,12.025547450099127,-6.2850917157012205,37.560001373291016,54.189998626708984,43.31999969482422,147.35000610351562,724.3400268554688,,,,,,,
2025-04-14,5405.97021484375,5503.843017578125,5991.404679144789,5016.281356011461,10.829406027683044,-7.208490675036994,30.889999389648438,28.510000228881836,34.20000076293945,122.31999969482422,809.0900268554688,,,,,,,
2025-04-15,5396.6298828125,5492.94150390625,5979.81988139782,5006.06312641468,10.806559116508936,-7.237234438509859,30.1200008392334,26.030000686645508,29.940000534057617,115.88999938964844,814.0599975585938,,,,,,,
2025-04-16,5275.7001953125,5472.96201171875,5961.127067811225,4984.796955626274,12.992149802366178,-5.514021436333618,32.63999938964844,34.970001220703125,33.220001220703125,122.91000366210938,749.0399780273438,,,,,,,
2025-04-17,5282.7001953125,5453.9525146484375,5940.584111171715,4967.32091812516,12.45355389357465,-5.970039289134486,29.649999618530273,31.350000381469727,27.649999618530273,116.26000213623047,771.760009765625,,,,,,,
2025-04-21,5158.2001953125,5428.484521484375,5921.321177254647,4935.647865714103,14.794326568317986,-4.314534550261165,33.81999969482422,30.649999618530273,36.560001373291016,124.11000061035156,721.3800048828125,,,,,,,
2025-04-22,5287.759765625,5404.4940185546875,5873.991304865159,4934.996732244216,11.086576645390918,-6.671313543290068,30.56999969482422,29.09000015258789,33.13999938964844,112.95999908447266,770.22998046875,,,,,,,
2025-04-23,5375.85986328125,5384.454516601562,5820.05932640539,4948.849706797735,8.262854211624012,-7.943104309696084,28.450000762939453,30.399999618530273,30.739999771118164,109.0199966430664,799.030029296875,,,,,,,
2025-04-24,5484.77001953125,5373.0830078125,5783.828058719452,4962.337956905548,5.452517391308248,-9.525140721768153,26.469999313354492,25.690000534057617,28.280000686645508,102.9800033569336,828.4199829101562,,,,,,,
2025-04-25,5525.2099609375,5364.678002929688,5754.161864816855,4975.194141042521,4.143768390667769,-9.95465916740754,24.84000015258789,23.59000015258789,24.639999389648438,98.94999694824219,859.0399780273438,,,,,,,
2025-04-28,5528.75,5362.068505859375,5746.112960077586,4978.024051641165,3.931502782321243,-9.961129520394936,25.149999618530273,21.360000610351562,26.469999313354492,103.38999938964844,857.3300170898438,,,,,,,
2025-04-29,5560.830078125,5359.517504882812,5737.201122203517,4981.8338875621075,3.1716675676230315,-10.412046087157519,24.170000076293945,22.1200008392334,24.950000762939453,101.30999755859375,866.5599975585938,,,,,,,
2025-04-30,5569.06005859375,5356.3170166015625,5725.223135927337,4987.410897275788,2.8041191096980245,-10.44429679691469,24.700000762939453,22.90999984741211,25.06999969482422,102.29000091552734,844.1799926757812,,,,,,,
2025-05-01,5604.14013671875,5352.975512695312,5710.929359733398,4995.021665657227,1.90554162475269,-10.869079933789184,24.600000381469727,27.520000457763672,24.81999969482422,102.30999755859375,862.5499877929688,,,,,,,
2025-05-02,5686.669921875,5367.4830078125,5755.1531145147865,4979.812901110213,1.2042758517836796,-12.430069451467713,22.68000030517578,19.979999542236328,21.219999313354492,97.26000213623047,894.1099853515625,,,,,,,
2025-05-05,5650.3798828125,5396.297998046875,5777.76547468678,5014.830521406971,2.254460664879641,-11.247905000843627,23.639999389648438,16.68000030517578,22.729999542236328,101.16999816894531,875.6099853515625,,,,,,,
2025-05-06,5606.91015625,5423.531005859375,5781.638458604501,5065.423553114249,3.1163028742262195,-9.657486709184337,24.760000228881836,22.190000534057617,24.139999389648438,104.31999969482422,845.5700073242188,,,,,,,
2025-05-07,5631.27978515625,5455.956494140625,5759.273442859271,5152.639545421979,2.2729053179066967,-8.499670731970035,23.549999237060547,19.790000915527344,22.690000534057617,99.81999969482422,864.530029296875,,,,,,,
2025-05-08,5663.93994140625,5466.30849609375,5783.572626294988,5149.044365892512,2.112181381270717,-9.090766866180767,22.479999542236328,18.1200008392334,21.6299991607666,96.29000091552734,897.5999755859375,,,,,,,
2025-05-09,5659.91015625,5485.901513671875,5799.996999262333,5171.806028081418,2.4750718499946647,-8.623884738339694,21.899999618530273,26.850000381469727,20.8700008392334,96.3499984741211,905.7999877929688,,,,,,,
2025-05-12,5844.18994140625,5509.943017578125,5856.477785330563,5163.408249825688,0.21025743597506036,-11.648863202703339,18.389999389648438,18.729999542236328,17.969999313354492,87.93000030517578,1023.52001953125,,,,,,,
2025-05-13,5886.5498046875,5533.971997070313,5915.0741746305675,5152.869819510058,0.48456856544989035,-12.463667335205553,18.219999313354492,15.40999984741211,17.40999984741211,91.58999633789062,1032.8399658203125,,,,,,,
2025-05-14,5892.580078125,5558.769506835937,5965.896333295117,5151.642680376757,1.2442131324152674,-12.574074309126857,18.6200008392334,15.210000038146973,17.530000686645508,97.16000366210938,1010.0399780273438,,,,,,,
2025-05-15,5916.93017578125,5590.831005859375,6005.030356838136,5176.631654880614,1.4889508315898545,-12.511530454267856,17.829999923706055,15.069999694824219,15.880000114440918,94.11000061035156,1024.0799560546875,,,,,,,
2025-05-16,5958.3798828125,5624.614990234375,6043.192949948991,5206.037030519759,1.4234249712936533,-12.626634539750366,17.239999771118164,13.390000343322754,14.350000381469727,94.94000244140625,1028.3900146484375,,,,,,,
2025-05-19,5963.60009765625,5664.884985351562,6047.994247408765,5281.7757232943595,1.4151544095936686,-11.433100194458943,18.139999389648438,13.460000038146973,16.809999465942383,96.88999938964844,1016.6599731445312,,,,,,,
2025-05-20,5940.4599609375,5697.519995117187,6055.757674309997,5339.282315924377,1.9408886539200123,-10.120052133441993,18.09000015258789,13.739999771118164,16.56999969482422,96.62000274658203,1022.8499755859375,,,,,,,
2025-05-21,5844.60986328125,5720.957495117187,6050.796842311254,5391.11814792312,3.5278142400123844,-7.7591443392516375,20.8700008392334,18.06999969482422,19.559999465942383,106.30000305175781,956.8300170898438,,,,,,,
2025-05-22,5842.009765625,5738.819482421875,6053.130623209293,5424.508341634458,3.6138395184915693,-7.146537591346809,20.280000686645508,16.549999237060547,18.420000076293945,104.0999984741211,965.030029296875,,,,,,,
2025-05-23,5802.81982421875,5752.699975585938,6051.424720241914,5453.975230929962,4.28420842890179,-6.011639234994755,22.290000915527344,21.729999542236328,20.6299991607666,109.76000213623047,901.780029296875,,,,,,,
2025-05-27,5921.5400390625,5772.3394775390625,6060.532549449628,5484.146405628497,2.347235845240246,-7.38648443730276,18.959999084472656,13.140000343322754,17.899999618530273,96.48999786376953,989.9199829101562,,,,,,,
2025-05-28,5888.5498046875,5788.7254638671875,6063.2244428504155,5514.2264848839595,2.96634390395863,-6.35679975917951,19.309999465942383,19.489999771118164,18.190000534057617,97.1500015258789,978.780029296875,,,,,,,
2025-05-29,5912.169921875,5805.88095703125,6065.033604579416,5546.728309483084,2.5855766110310996,-6.181175731092981,19.18000030517578,17.40999984741211,17.84000015258789,95.31999969482422,979.8300170898438,,,,,,,
2025-05-30,5911.68994140625,5821.258447265625,6066.11169588148,5576.405198649771,2.612142314732034,-5.6715549374147844,18.56999969482422,16.950000762939453,16.739999771118164,95.1500015258789,973.5999755859375,,,,,,,
